"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
25,482,2,786,7,786,23,510,11,507
3,507,3,518,3,486,4,507,5,786
5,786,6,519,6,786,6,786,6,486
6,486,7,511,7,493,7,478,7,486
13,482,18,786,18,786,18,475,18,491
18,493,18,486,18,493,7,486,18,786
25,466,2,519,2,786,2,786,2,786
2,511,3,507,3,486,3,482,3,786
3,507,4,786,4,786,4,786,4,480
4,493,5,486,5,786,5,786,5,786
5,486,6,786,6,486,6,493,6,486
6,491,6,491,6,486,6,511,6,486
6,513,6,492,6,510,6,486,7,786
7,786,7,786,7,486,7,491,7,786
7,786,7,486,7,491,7,786,7,486
7,518,7,461,8,507,11,486,15,486
18,786,18,786,18,786,18,786,18,786
18,786,18,786,18,786,18,786,18,786
18,493,18,786,18,786,18,786,18,786
18,786,18,786,18,786,18,786,18,786
18,786,18,786,18,786,18,786,18,786
18,786,18,486,18,486,18,480,18,486
23,786,3,481,4,510,4,482,5,493
5,518,6,786,6,513,6,486,7,786
7,786,7,786,7,786,7,786,18,486
11,518,18,786,18,786,2,786,2,786
5,482,5,486,5,518,5,518,6,486
6,486,6,481,23,518,28,786,28,507
28,486,2,486,11,510,25,786,25,786
25,786,25,486,25,786,25,511,25,786
25,786,25,786,25,786,2,786,2,486
2,786,2,786,2,491,2,786,2,786
2,516,2,486,2,518,2,518,2,491
3,511,3,491,3,482,3,491,3,491
3,486,3,507,3,493,3,487,3,507
3,518,3,486,3,486,3,507,3,518
3,491,3,486,3,493,3,518,3,466
3,518,3,486,3,486,3,486,3,486
3,518,3,510,3,786,4,511,5,466
5,518,5,511,5,490,5,786,5,786
6,491,6,487,6,491,6,511,6,786
6,491,6,786,6,492,6,486,6,518
6,518,6,518,6,491,6,786,6,786
6,511,6,486,6,486,6,518,6,786
6,493,6,518,6,491,6,486,6,486
6,481,6,518,6,478,6,486,6,486
6,491,6,486,6,518,6,486,6,518
6,518,6,486,6,486,6,518,7,786
7,786,7,786,7,786,7,491,7,786
7,491,7,786,7,491,7,786,7,486
7,491,7,486,11,518,11,486,11,518
11,511,11,518,11,492,11,518,13,486
13,486,18,786,18,486,18,786,18,786
18,786,18,786,18,786,18,786,18,786
18,486,18,786,18,493,18,786,18,786
18,491,18,786,18,519,18,786,18,493
18,487,18,491,18,491,22,507,23,518
23,507,23,518,23,518,23,486,27,491
28,486,28,486,2,786,2,510,2,786
2,518,2,518,2,493,3,507,3,518
3,518,4,518,4,518,5,786,5,486
5,518,5,786,5,486,6,491,6,507
6,506,6,486,6,486,7,786,7,786
7,486,11,482,13,461,14,519,18,786
18,486,18,486,2,786,2,786,3,518
3,486,3,486,3,486,3,507,5,493
6,511,6,486,6,507,6,478,6,486
7,486,7,786,18,786,18,513,18,511
22,507,2,491,2,786,3,786,3,507
3,491,3,486,3,486,3,518,3,518
3,518,3,512,3,493,3,486,3,518
3,486,5,786,5,491,5,786,5,486
5,786,5,515,5,482,6,786,6,486
11,518,14,507,28,786,28,487,28,486
2,486,2,786,2,786,3,491,3,482
6,491,6,786,6,491,7,786,7,786
18,486,23,507,25,786,25,486,25,786
25,786,25,486,25,786,25,786,25,786
25,786,2,786,2,491,2,518,2,786
2,486,2,486,2,518,2,486,2,511
2,486,2,486,2,486,2,491,2,518
2,486,3,485,3,486,3,518,3,491
3,518,3,486,3,482,3,518,3,518
3,486,3,486,3,486,3,486,3,786
3,486,3,486,3,786,3,786,3,486
3,486,3,493,3,492,3,486,3,511
3,482,3,486,3,486,3,491,3,486
3,496,3,786,3,486,3,507,3,491
3,486,3,491,3,491,3,482,3,491
3,486,3,481,3,491,3,518,3,786
3,491,3,518,3,486,3,518,3,518
3,486,3,507,3,507,3,486,3,507
3,518,3,486,3,518,3,486,3,486
3,486,3,482,3,507,3,518,3,475
3,518,3,486,3,518,3,786,3,786
3,518,3,518,3,491,3,518,3,507
3,518,3,518,3,507,3,486,3,482
3,518,4,786,4,786,4,486,4,493
4,482,4,491,4,491,4,486,4,482
5,486,5,486,5,518,5,518,6,491
6,491,6,786,6,491,6,491,6,486
6,786,6,486,6,480,6,486,6,491
6,491,6,491,6,786,6,486,6,486
6,511,6,486,6,491,6,786,6,491
6,491,6,518,6,518,6,491,6,482
6,485,6,491,6,494,6,518,6,491
6,786,6,491,6,491,6,491,6,491
6,491,6,491,6,486,6,491,6,482
6,486,6,786,6,491,6,482,6,486
6,491,6,491,6,486,6,491,6,518
6,486,6,518,6,486,6,482,6,486
6,518,6,511,6,486,6,478,6,511
6,786,6,491,6,486,6,482,6,491
6,518,6,518,6,494,6,491,6,491
6,786,6,518,6,491,6,491,6,491
6,486,6,482,6,486,6,507,6,486
6,486,6,491,6,507,6,482,6,491
6,482,6,486,6,507,6,487,6,493
6,494,6,496,6,491,6,491,6,491
6,486,6,491,6,491,6,486,6,511
6,518,6,491,6,510,6,481,6,516
7,786,7,786,7,493,7,491,7,518
7,491,7,786,7,493,9,486,9,491
11,518,11,507,11,486,11,507,11,507
11,518,11,482,11,511,11,486,11,518
11,482,11,518,11,518,11,514,11,486
11,511,11,515,13,518,13,518,13,518
13,507,13,486,13,486,13,518,14,515
14,507,14,486,14,507,18,786,18,786
18,518,18,786,18,786,18,786,18,786
18,786,18,486,18,18,786,786,18,786
18,786,18,786,18,786,18,786,18,786
18,786,18,496,18,786,18,515,18,786
18,511,18,486,18,511,18,518,18,507
18,786,18,486,18,486,18,491,18,486
18,482,22,486,22,507,22,786,22,518
22,486,23,486,23,518,24,486,24,518
24,518,24,486,24,518,28,786,2,486
3,786,3,519,3,786,3,486,3,507
3,491,4,486,4,490,4,518,5,786
5,491,5,490,6,511,6,473,6,491
6,494,6,486,6,486,6,491,6,486
6,518,6,491,6,507,11,518,11,518
11,491,11,486,13,491,15,491,18,786
18,786,18,482,18,511,18,491,22,511
2,486,3,487,3,507,3,486,3,491
3,486,5,507,6,515,6,786,6,466
6,493,6,510,6,491,7,786,13,486
14,512,15,486,18,496,18,510,18,511
3,786,3,491,3,518,3,507,3,486
3,486,3,491,3,507,3,507,3,518
3,486,3,508,6,518,6,491,6,486
6,487,6,491,6,491,6,516,6,491
6,486,6,518,11,486,11,507,14,518
22,518,23,491,23,486,23,518,28,486
3,518,3,486,3,515,5,518,5,786
6,478,6,518,6,513,7,786,11,486
11,491,23,786,25,786,25,786,25,492
25,491,25,486,25,518,25,491,25,491
25,486,25,486,25,786,2,490,2,786
2,491,2,486,2,786,2,786,2,486
2,486,2,486,2,511,2,518,3,518
3,786,3,786,3,491,3,507,3,518
3,491,3,491,3,507,3,486,3,486
3,486,3,491,3,786,3,486,3,786
3,486,3,486,3,486,3,491,3,486
3,491,3,507,3,518,3,507,3,493
3,518,3,507,3,486,3,786,3,486
3,507,3,518,3,518,3,507,3,786
3,486,3,507,3,516,3,491,3,491
3,486,3,507,3,491,3,486,3,507
3,486,3,486,3,507,3,486,3,507
3,491,3,486,3,507,3,487,3,507
3,491,3,491,3,486,3,486,3,507
3,491,3,493,3,507,3,486,3,518
3,486,3,482,3,507,3,486,3,507
3,507,3,507,3,486,3,486,3,491
3,482,3,486,3,486,3,486,3,786
3,491,3,486,3,482,3,482,3,486
3,486,3,491,3,486,3,486,3,491
3,511,3,515,3,486,3,486,3,486
3,486,3,486,3,507,3,482,3,518
3,486,3,486,3,486,3,507,3,486
3,507,3,482,3,486,3,486,3,486
3,507,3,507,3,486,3,507,3,507
3,486,3,486,3,518,3,511,3,507
3,491,3,486,3,486,3,507,3,486
3,507,3,518,3,482,3,486,3,491
3,518,3,507,3,507,3,486,3,486
3,507,3,511,3,519,3,491,3,507
4,486,4,491,4,507,4,486,4,507
